n_neighbors,metric,score,measure,time,n_optim_iterations,learning_rate,optim,warmup_ratio,weight_decay,path,epoch,classifier,embedding_model,n_samples,iteration
6,l2,0.5098134311663908,f1_macro,6.895723819732666,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
19,cosine,0.5237173816895179,f1_macro,5.846369504928589,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
14,cosine,0.5239408631221497,f1_macro,5.442302227020264,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
6,cosine,0.4742093851493036,f1_macro,6.379562377929688,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
11,l1,0.5055403499292933,f1_macro,6.84206748008728,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
13,l1,0.5376914380346524,f1_macro,8.113224983215332,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
8,cosine,0.5900575706682042,f1_macro,7.79242730140686,7,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
18,l1,0.5696434655640629,f1_macro,11.284010887145996,9,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
7,l1,0.5556809013009032,f1_macro,6.770797967910767,5,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
6,l1,0.5578686421187692,f1_macro,7.056450128555298,5,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
15,l1,0.5508477172579499,f1_macro,7.183727979660034,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
3,l1,0.5819532269396768,f1_macro,6.775820016860962,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
18,l1,0.6425180854125143,f1_macro,11.432308673858644,9,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
6,l2,0.624033940413811,f1_macro,6.61280083656311,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
13,l2,0.6034675461398709,f1_macro,6.914888858795166,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
7,cosine,0.5377669165292062,f1_macro,7.880186319351196,6,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
12,l2,0.59466889761985,f1_macro,7.807803392410278,6,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
16,l2,0.6476072946661183,f1_macro,7.292544603347778,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
16,cosine,0.6837186507918046,f1_macro,8.38335108757019,7,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
17,l1,0.675426464185743,f1_macro,6.906703233718872,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,1
19,l1,0.5270601857497544,f1_macro,8.110973358154297,6,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
19,l1,0.492885974670476,f1_macro,6.409737348556519,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
1,l2,0.5271172979891997,f1_macro,6.6840009689331055,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
9,cosine,0.4924630555173989,f1_macro,6.592941284179688,6,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
19,l1,0.5392137997031952,f1_macro,10.17619800567627,8,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
17,l1,0.535322561785078,f1_macro,8.245912313461304,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
3,cosine,0.5459618874773139,f1_macro,7.740838050842285,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
14,l2,0.5999027767690707,f1_macro,8.428478717803955,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
10,cosine,0.5851669346007782,f1_macro,6.879940271377564,5,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
1,cosine,0.5799552469135802,f1_macro,5.94763970375061,5,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
7,l1,0.536916704569718,f1_macro,8.714632272720337,7,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
12,l1,0.5832496360787882,f1_macro,7.0119593143463135,6,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
12,l1,0.611121523839008,f1_macro,7.195152759552002,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
8,l1,0.6184550771842524,f1_macro,8.025373697280884,6,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
16,l2,0.6218737504047412,f1_macro,6.843327760696411,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
15,cosine,0.5909142770326151,f1_macro,5.569133281707764,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
18,l2,0.6041802783717432,f1_macro,7.06067681312561,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
10,l1,0.6533614516058169,f1_macro,6.874927997589111,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
17,l1,0.664585988988211,f1_macro,9.18942165374756,7,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
18,l1,0.6993336993336993,f1_macro,8.113826274871826,6,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,2
10,cosine,0.5104438746918545,f1_macro,5.980938911437988,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
7,l1,0.5021058164555923,f1_macro,7.273000717163086,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
15,l1,0.5155390880541008,f1_macro,8.965722799301147,7,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
14,l2,0.4891878980080629,f1_macro,6.810455322265625,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
3,l1,0.5181141052000052,f1_macro,7.005480766296387,5,1e-06,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/001/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
18,l2,0.5205007520536851,f1_macro,10.377103567123411,8,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
17,cosine,0.5793332700579851,f1_macro,6.346962213516235,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
11,l2,0.564574300135637,f1_macro,6.533796310424805,5,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
14,cosine,0.5706773618538324,f1_macro,8.12687873840332,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
8,l2,0.5723872112306684,f1_macro,8.24753212928772,6,1e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/002/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
18,l2,0.5786038566896371,f1_macro,7.988040447235107,6,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
16,cosine,0.5890467354283144,f1_macro,6.236201047897339,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
19,cosine,0.60777385655194,f1_macro,7.171728134155273,6,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
11,l1,0.621573119754938,f1_macro,6.644301176071167,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
12,cosine,0.6238668796394321,f1_macro,6.0801310539245605,5,5e-05,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/003/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
10,l1,0.545190871663569,f1_macro,9.44143843650818,7,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_1,1,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
16,cosine,0.6264255624082994,f1_macro,6.625368356704712,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_2,2,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
14,cosine,0.672589299662956,f1_macro,9.603300094604492,8,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_3,3,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
7,l2,0.6712080148869312,f1_macro,7.876768350601196,6,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_4,4,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
7,l1,0.6703350194235366,f1_macro,6.8814427852630615,5,0.0001,adamw_torch,0.1,0.01,./models/answerdotai/ModernBERT-base/004/embeddings/epoch_5,5,KNeighborsClassifier,answerdotai/ModernBERT-base,1000,3
13,l1,0.6108410554193687,f1_macro,7.048439741134644,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,l2,0.6050455605472987,f1_macro,7.1860315799713135,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
1,l1,0.6337819898201271,f1_macro,6.623029470443726,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
1,l2,0.6110617583971817,f1_macro,6.88158392906189,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,l1,0.60416400453598,f1_macro,6.825563430786133,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
19,l1,0.6560101394169835,f1_macro,7.851731538772583,6,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,l1,0.6186430734377608,f1_macro,8.491838455200195,7,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,cosine,0.6872226970179157,f1_macro,10.604825496673584,9,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
14,l2,0.6816978498394427,f1_macro,10.420191764831545,8,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,l1,0.6761062709885343,f1_macro,7.962235927581787,6,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
16,l2,0.6229397446211605,f1_macro,8.695019006729126,7,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
15,l2,0.6984525866739668,f1_macro,7.802938222885132,6,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
10,l1,0.7324040028412653,f1_macro,7.17195463180542,5,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
11,cosine,0.7469101641763513,f1_macro,7.101581811904907,5,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
13,l2,0.7641890166028097,f1_macro,7.071569204330444,5,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
10,cosine,0.6293445035661723,f1_macro,6.896245956420898,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
10,cosine,0.6405739873689149,f1_macro,6.9750683307647705,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
10,l2,0.698547484067373,f1_macro,10.298540353775024,8,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
6,l1,0.6947901634269891,f1_macro,7.932403564453125,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
8,cosine,0.6879656914511227,f1_macro,5.824053525924683,5,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,1
18,cosine,0.6334796457859785,f1_macro,6.587701082229614,6,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
13,l1,0.5950002139005605,f1_macro,6.7344512939453125,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
9,l1,0.6180758517398729,f1_macro,12.728935718536375,10,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
1,l2,0.6221063680874069,f1_macro,6.932821989059448,5,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
12,l2,0.6389891412480763,f1_macro,11.705573558807371,9,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
17,cosine,0.640539309372811,f1_macro,8.43064546585083,7,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
5,cosine,0.6353742429563707,f1_macro,7.423913478851318,6,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
8,l1,0.6965369244624564,f1_macro,8.57803988456726,7,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
18,cosine,0.6892660970325754,f1_macro,13.428827047348022,12,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
16,l1,0.6634158500945505,f1_macro,6.395933389663696,5,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
