model,lr,epoch,f1_macro,filename,n_samples
answerdotai/ModernBERT-base,1e-05,1,0.4377494950849541,2025-05-20-answerdotai/ModernBERT-base-1e-05-data,1500
answerdotai/ModernBERT-base,1e-05,2,0.4513430468827437,2025-05-20-answerdotai/ModernBERT-base-1e-05-data,1500
answerdotai/ModernBERT-base,1e-05,3,0.5346349058294262,2025-05-20-answerdotai/ModernBERT-base-1e-05-data,1500
answerdotai/ModernBERT-base,1e-05,4,0.5837651857763589,2025-05-20-answerdotai/ModernBERT-base-1e-05-data,1500
answerdotai/ModernBERT-base,1e-05,5,0.577090915593829,2025-05-20-answerdotai/ModernBERT-base-1e-05-data,1500
answerdotai/ModernBERT-base,2e-05,1,0.4909676720624145,2025-05-20-answerdotai/ModernBERT-base-2e-05-data,1500
answerdotai/ModernBERT-base,2e-05,2,0.4307579278090038,2025-05-20-answerdotai/ModernBERT-base-2e-05-data,1500
answerdotai/ModernBERT-base,2e-05,3,0.5631017434296123,2025-05-20-answerdotai/ModernBERT-base-2e-05-data,1500
answerdotai/ModernBERT-base,2e-05,4,0.5735900133258808,2025-05-20-answerdotai/ModernBERT-base-2e-05-data,1500
answerdotai/ModernBERT-base,2e-05,5,0.5726703838976817,2025-05-20-answerdotai/ModernBERT-base-2e-05-data,1500
answerdotai/ModernBERT-base,5e-05,1,0.3898718707322945,2025-05-20-answerdotai/ModernBERT-base-5e-05-data,1500
answerdotai/ModernBERT-base,5e-05,2,0.5049925842747838,2025-05-20-answerdotai/ModernBERT-base-5e-05-data,1500
answerdotai/ModernBERT-base,5e-05,3,0.5236933765971878,2025-05-20-answerdotai/ModernBERT-base-5e-05-data,1500
answerdotai/ModernBERT-base,5e-05,4,0.5215596863741135,2025-05-20-answerdotai/ModernBERT-base-5e-05-data,1500
answerdotai/ModernBERT-base,5e-05,5,0.5352256096936948,2025-05-20-answerdotai/ModernBERT-base-5e-05-data,1500
answerdotai/ModernBERT-base,5e-06,1,0.4896172377528309,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,1500
answerdotai/ModernBERT-base,5e-06,2,0.4492418300653595,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,1500
answerdotai/ModernBERT-base,5e-06,3,0.4961741532972992,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,1500
answerdotai/ModernBERT-base,5e-06,4,0.5460512402187377,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,1500
answerdotai/ModernBERT-base,5e-06,5,0.5628521698910683,2025-05-20-answerdotai/ModernBERT-base-5e-06-data,1500
FacebookAI/roberta-base,1e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-1e-05-data,1500
FacebookAI/roberta-base,1e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-1e-05-data,1500
FacebookAI/roberta-base,1e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-1e-05-data,1500
FacebookAI/roberta-base,1e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-1e-05-data,1500
FacebookAI/roberta-base,1e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-1e-05-data,1500
FacebookAI/roberta-base,2e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,5e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-06,1,0.3647938882699348,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,2,0.4946132806621804,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,3,0.6072121851782869,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,4,0.5848976368385882,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,5,0.5497850791968438,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
google-bert/bert-base-uncased,1e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,2e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,5e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-06,1,0.3424347253109299,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,2,0.3947457813883326,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,3,0.4684644958328084,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,4,0.4993025068652734,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,5,0.4786651114784637,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
